ID Nobs Nfilt obs_first theta_E	mb		dt_input 
SN726 6 3 60394.36367627711 0.4859139049481004 22.850842270709578 10.691620484833877
SN728 5 4 60699.26014397595 0.6082701473541174 22.624858220980393 21.621781449676906
SN730 10 3 60865.3341947261 0.3729985273255324 23.720677070435286 27.11628348240289
SN731 3 3 60561.40515924712 0.2424002588899394 22.372731551597134 10.761441366049771
SN733 3 2 60682.353378216205 0.7764403312606266 22.477620160624205 76.78998361862668
SN738 17 5 60941.35475971437 0.3590080870966928 21.50449474981972 3.9800094534404646
SN739 6 4 60830.275579315225 0.3571571036900833 22.34609562994263 2.728610055951297
SN744 7 2 60390.38492669426 0.3943696241775559 23.003439289482415 6.9211339664820155
SN745 9 3 61243.42021236039 0.6545209174005451 23.52543654859192 81.0777058337156
SN754 12 4 61234.40873026123 0.29945407127963264 23.159704665186176 12.035833255580414
SN756 3 3 61226.2662306374 0.339091572373708 22.55939889586233 0.8494699269679226
SN759 12 4 61093.395048612845 0.26909311192621393 22.850724573947737 6.526884376905941
SN760 13 5 61225.33865949487 0.3401812533543682 22.56770874836509 12.932638224017897
SN761 1 1 60809.12404850238 0.40858365825055193 21.951031923341212 2.1518852756424893
SN766 6 4 60229.336278116505 0.3149937641690427 23.633755575577513 39.0501555008352
SN767 5 3 60763.35454244068 1.8079715584497995 22.035823153352855 96.90273341035315
SN773 19 5 60604.311933732606 0.6934047977650989 23.53931354469134 56.13535371536028
SN774 4 3 61246.4109868758 0.5294963568089021 21.30339381214024 9.765074382876763
SN778 23 5 61086.38053465294 0.32277156084474296 22.76036546564343 25.610653880477734
SN782 7 4 60393.39733029999 0.5103667753861416 22.007464752344184 17.438962600504144
SN784 3 2 60955.35310440178 0.49596131876364885 22.841632401730834 14.180028854420838
SN790 10 4 60530.35968087817 1.277081071758866 23.411483280436286 26.549589277233654
SN791 2 1 61037.06651054426 0.7013789025913368 23.002089163133085 20.636930233697754
SN796 10 4 61075.3222373214 0.9677007478206601 23.00032199651067 28.935396806764203
SN799 5 3 60685.3574345012 0.5185411478038444 21.174336004299704 5.914713746910877
SN802 6 3 60666.06954810529 0.4379437861994692 22.31169412181317 6.853876094310918
SN807 6 4 60830.3107563189 0.7384796241832793 20.763094685765054 13.997110792124301
SN808 4 2 60505.3437608947 1.2710059692691826 23.79984590241723 149.92985665344335
SN811 19 4 60363.04619503948 0.9820948211535641 23.004875708186983 44.8995437855995
SN814 13 4 61069.379286288226 0.4868116289492267 22.662367810888675 9.37383659181751
SN816 6 5 60484.02639433 0.5432190360965564 23.10288456076205 62.09949689862999
SN817 1 1 60421.424107559214 0.5286804567801991 23.04645315500437 17.658869978058398
SN822 5 4 61136.41603500432 0.6661905927426774 21.10672183273431 19.47323595658731
SN825 8 3 60666.22917294389 0.24855452996579627 23.127663434147934 13.100094199278379
SN828 4 3 61133.27575977339 0.5548905322154827 23.536229301934952 38.59255929128394
SN829 11 5 60855.38068761965 0.5661262314575318 21.60182317463343 33.24883682218051
SN830 10 4 60650.238885593026 0.12805759738548733 22.180294233153433 0.5725443666572081
SN831 13 4 60930.27722532879 0.30828877735748084 22.707462424223685 1.1298920764449
SN832 4 3 60980.30618010673 1.5625233404398258 22.10903752615814 88.81495570172032
SN833 5 4 60381.4030664853 0.8052207710473762 22.621678888246507 9.597178143990185
SN834 5 3 60636.274562589395 0.9601550671779946 22.72616743797814 115.63441688119
SN835 12 4 60235.36005199512 0.12932337894681173 21.640244814515306 3.136348301837604
SN838 7 4 60279.237218104354 1.738271328398179 22.296350099640293 80.77361156795507
SN840 5 3 60644.3138891661 1.1815650147451435 23.17681321803294 91.13776123662669
SN842 6 3 60682.35109262653 1.016087164599831 22.61430900038653 28.22437350568457
SN843 4 2 60716.28655547792 1.3976409166880284 22.488002146163545 13.550966015092852
SN844 3 3 60495.44557234461 0.4376755359572982 22.686186508382036 21.951500606019536
SN845 6 4 61225.205006696306 0.8007817375788898 22.34492477629115 101.67846886372665
SN847 10 5 60864.31729860545 0.3583986455202751 23.02139577818778 31.66694887922878
SN848 4 3 61015.35430894915 0.8323027659397583 23.159024639733104 54.16339823453777
SN850 9 4 60368.34502358204 0.6816839156995972 22.922757815357507 54.320422007620714
SN853 8 3 61081.259175204184 0.21433757440328885 22.71784802211745 11.79527577042779
SN854 12 4 60310.16498019905 0.8275018537984604 22.58546686323436 44.52622525525514
SN855 6 3 60895.403318630044 0.753281440843835 23.67368570617912 23.89063035529847
SN857 10 4 60315.34431332689 0.11361384942729062 23.441744518072284 3.9051306917413373
SN859 2 2 61236.38428204715 0.13997619220369112 22.04825465631476 2.7228452418533844
SN863 9 4 60390.39045880076 0.13585567696009945 22.905034801377973 2.436306784008872
SN866 11 5 61063.10153796409 0.3709790597821293 21.81718180715827 1.6092260570746888
SN868 2 2 60659.13056171021 0.2644413132186266 22.532014301586322 5.261213521244844
SN870 8 3 60573.40291559697 0.8879410098074272 23.975975709919656 54.02651928890617
SN872 4 3 61187.406878624184 0.3051077232263521 22.591211341586202 11.628708380652814
SN873 3 2 61164.42713972632 0.3074953481475608 21.276704392642685 9.483700441732378
SN874 6 4 60503.15727592589 0.2348775603221805 22.865929857210887 2.267435000107995
SN875 11 4 61099.361064891316 0.3154519990545305 22.241808966012798 2.923734597349844
SN876 5 2 60438.40158422987 0.7697550446430869 22.88718613119292 32.40661205383941
SN881 11 3 60601.324036174876 0.5970933381229004 23.259055018630953 45.43678696198843
SN882 9 4 60390.393913716114 0.49233682297410075 22.965927857383377 45.70537039576206
SN886 5 3 60518.42921330049 1.3699978463654663 23.52988489839628 134.99276752470396
SN887 6 5 61146.36050511335 0.21223804669356175 21.687499192860745 1.5391928996737883
SN890 4 3 61014.34883067098 0.5848480237497121 22.90369821181786 35.00361103557183
